date,bytesIn,bytesOut,packetsIn,packetsOut,applicationName,destinationAddress,protocolNumber,sourceAddress
7/14/2018 4:01:04.000000000 PM,5535,0,36,0,SSDP,111.22.22.156,17,239.255.255.250
7/14/2018 4:01:16.000000000 PM,7800,0,75,0,,111.16.126.6,,basement.inside.local
7/14/2018 4:01:16.000000000 PM,7800,0,75,0,,111.16.126.6,1,basement.inside.local
7/14/2018 4:01:28.000000000 PM,8622,0,40,0,,111.22.22.150,,239.255.255.250
7/14/2018 4:01:28.000000000 PM,8622,0,40,0,SSDP,111.22.22.150,17,239.255.255.250
7/14/2018 4:01:56.000000000 PM,4816,0,86,0,,111.16.126.10,,basement.inside.local
7/14/2018 4:01:56.000000000 PM,4816,0,86,0,,111.16.126.10,1,basement.inside.local
7/14/2018 4:02:41.000000000 PM,2928,0,40,0,,111.22.22.101,,111.22.22.255
7/14/2018 4:02:41.000000000 PM,2736,0,38,0,,111.22.22.101,17,111.22.22.255
7/14/2018 4:02:41.000000000 PM,192,0,2,0,NETBIOS Name Service,111.22.22.101,17,111.22.22.255
7/14/2018 4:02:56.000000000 PM,597476,0,3008,0,,bay.inside.local,,basement.inside.local
7/14/2018 4:02:56.000000000 PM,396,0,4,0,,bay.inside.local,89,basement.inside.local
7/14/2018 4:02:56.000000000 PM,594600,0,2973,0,Connected Corp,bay.inside.local,17,basement.inside.local
7/14/2018 4:02:56.000000000 PM,2480,0,31,0,SNS Quote,bay.inside.local,17,basement.inside.local
7/14/2018 4:03:27.000000000 PM,12684,0,21,0,,0.0.0.0,,255.255.255.255
7/14/2018 4:03:27.000000000 PM,12684,0,21,0,Bootstrap Protocol Server,0.0.0.0,17,255.255.255.255
7/14/2018 4:05:08.000000000 PM,11088,0,48,0,,111.22.22.154,,239.255.255.250
7/14/2018 4:05:08.000000000 PM,11088,0,48,0,SSDP,111.22.22.154,17,239.255.255.250
7/14/2018 4:08:31.000000000 PM,5535,0,36,0,,111.22.22.153,,239.255.255.250
7/14/2018 4:08:31.000000000 PM,5535,0,36,0,SSDP,111.22.22.153,17,239.255.255.250
7/14/2018 4:09:27.000000000 PM,832,0,10,0,,acc.inside.local,,basement.inside.local
7/14/2018 4:09:27.000000000 PM,832,0,10,0,,acc.inside.local,89,basement.inside.local
7/14/2018 4:16:56.000000000 PM,3690,0,24,0,,111.22.22.155,,239.255.255.250
7/14/2018 4:16:56.000000000 PM,3690,0,24,0,SSDP,111.22.22.155,17,239.255.255.250
7/14/2018 4:20:20.000000000 PM,3078,0,16,0,,111.22.22.151,,239.255.255.250
7/14/2018 4:20:20.000000000 PM,3078,0,16,0,SSDP,111.22.22.151,17,239.255.255.250
7/14/2018 4:20:33.000000000 PM,476,0,3,0,,g1.inside.local_192.168.1.1,,basement.inside.local
7/14/2018 4:20:33.000000000 PM,144,0,2,0,,g1.inside.local_192.168.1.1,1,basement.inside.local
